DELHI
JAMNAGAR,IAC,AI 647,A319,Daily,1100,1210,
JODHPUR,IAC,AI 476,A319,Daily,1200,1340,
KOLKATA,IAC,AI 675,A320,Daily,0610,0845,
KOLKATA,IAC,AI 617,A319,Daily,0830,1240,1
KOLKATA,IAC,AI 774,A319,Daily,1830,2120,
KOLKATA,IAC,AI 776,A319,123467,2015,2250,
LUCKNOW,IAC,AI 625,A320,Daily,1030,1240,
MADURAI,IAC,AI 671,A319,Daily,0940,1320,1
MANGALORE,IAC,AI 665,A321,Daily,1100,1220,
NAGPUR,IAC,AI 627,A319,Daily,0625,0755,
NAGPUR,IAC,AI 629,A319,Daily,1840,2010,
RAIPUR,IAC,AI 651,A319,Daily,1050,1235,
RAJKOT,IAC,AI 655,A319,Daily,1605,1710,
RANCHI,IAC,AI 809,A321,Daily,1000,1445,1
SRINAGAR,IAC,AI 866,A321,Daily,0900,1330,1
TRIVANDRUM,IAC,AI 667,A319,Daily,0630,0840,
UDAIPUR,IAC,AI 472,A319,Daily,0900,1020,
VARANASI,IAC,AI 695,A319,Daily,0830,1045,
VIZAG,IAC,AI 651,A319,Daily,1050,1410,1
NAGPUR
DELHI,IAC,AI 469,A319,Daily,0755,1055,1
MUMBAI,IAC,AI 628,A319,Daily,0830,1020,
MUMBAI,IAC,AI 630,A319,Daily,2045,2220,
RAIPUR,IAC,AI 469,A319,Daily,0755,0845,
PATNA
DELHI,IAC,AI 410,A319,Daily,0925,1110,
DELHI,IAC,AI 408,A319,Daily,1505,1655,
DELHI,IAC,AI 416,A319,Daily,2040,2225,
PORT BLAIR
CHENNAI,IAC,AI 550,A321,Daily,0755,1010,
KOLKATA,IAC,AI 788,A319,Daily,0835,1040,
PUNE
DELHI,IAC,AI 852,A320,Daily,0735,0950,
DELHI,IAC,AI 850,A321,Daily,1840,2045,
DELHI,IAC,AI 854,A320,Daily,2045,2250,
GOA,IAC,AI 517,A319,123457,1200,1310,
HYDERABAD,IAC,AI 518,A319,123457,1520,1625,
RAIPUR
